,Stationarity,ACF,PACF,YMean,TypeData,YStd,CosineYMean,SineYMean,MaxY,MinY,MedianY,25PercY,75PercY,RBFY,NoOfHolidays,bestmodel
13,0,0.4463809485663605,0.4449471130876768,40751.959989,2,16171.55646388686,-0.07633168052634234,0.06709089622232844,70663.619609,11366.153709,38618.5636065,31704.26524525,50447.7592955,0.0,2,2
14,0,0.9345668420648238,0.6420882030889199,78.97774245299145,2,2.0487498224125837,-0.09438403761727707,-0.3140889205722171,82.81616,73.599728,79.291599,78.048408,80.359825,0.0,13,0
15,0,0.5556008707192021,0.4885157101953031,8617195.08,2,1015644.1592838902,0.19704997071507147,-0.01671194527540039,10590725.0,6271015.0,8542699.0,7987855.0,9397797.5,0.0,9,0
16,1,0.4419428137242314,0.4318305901246164,568.0488604623201,3,65.30787273452307,0.022919343517323665,0.016451037497188268,1531.098238,307.389626,562.673667,535.138796,594.709308,0.0,2,0
17,1,0.512342873838095,0.49391964720392184,0.08081321905597784,3,0.007966700586894011,0.9967047912728396,0.08072271208685243,0.1111918604651162,0.0580605311920938,0.0808981017442674,0.07531629554655868,0.08577747417785783,0.9967085496940249,1,0
18,1,0.3286489131896343,0.3286252824381664,0.00012751085146932688,3,0.0015230576034459017,0.9999988332213793,0.0001275029481395118,0.027027027027027,0.0,0.0,0.0,0.0,0.9999988333079045,1,2
19,1,0.332664998331665,0.3326636583109368,6.25e-05,3,0.0019764235376052374,0.9999980475107001,6.24593178423802e-05,0.0625,0.0,0.0,0.0,0.0,0.9999980487811075,1,1
20,0,0.7417615882356462,0.639994866272693,-92.58029826388889,3,0.1266686544180696,-0.09571284520350025,0.9874866765810381,-92.280957,-92.848418,-92.58657149999999,-92.66123950000001,-92.50497800000001,0.0,1,0
21,1,0.5123428738123291,0.49391964718303893,0.08081321905631,3,0.007966700587357881,0.9967047912728092,0.08072271208718314,0.1111918605,0.05806053119,0.080898101745,0.075316295545,0.08577747417750001,0.9967085496939947,1,0
22,1,0.3493626462918528,0.3492505639061765,0.06770708283313324,3,0.22904189049316134,0.9735307034826934,0.059394420398519006,1.0,0.0,0.0,0.0,0.0,0.9768745973849254,1,2
23,1,0.376901313980613,0.37524989251604574,0.009418834687706061,3,0.014963407471105616,0.9998438457544762,0.009416287842919693,0.125,0.0,0.0,0.0,0.015625,0.9998439312340717,1,2
24,1,0.6701765060367718,0.5838208144898241,0.15480330062989878,3,0.011168085558316896,0.9879803199282655,0.15417618326607213,0.1896705253784505,0.1013064658990256,0.1545482786862097,0.14749575808618676,0.16185800499791625,0.9880293766483329,1,1
25,1,0.4111442649439864,0.3989426145329443,22.590308370044053,3,11.454584945608836,-0.016004505358265052,-0.02349438911390323,151.0,6.0,22.0,16.0,26.0,6.73950857128841e-11,0,0
26,0,0.9845600515663543,0.6428590424324023,4169523.475095785,0,298355.7483751769,0.005895469262548812,0.0738660325250741,4553380.0,3481300.0,4231896.0,4060506.0,4388391.0,0.0,5,1
27,1,0.32736926363271557,0.3272739348751048,0.02127830687830688,0,0.03970264213957014,0.9990073463121519,0.021140815405954066,0.5317,0.0045,0.0174,0.0156,0.0183,0.9990408523020401,1,0
28,0,0.8834628324937396,0.6061395232181498,1897.9864864864865,0,5058.858199978145,0.43457946220342747,0.0961060627869038,17003.0,0.0,0.0,0.0,108.5,0.5391813408008425,1,2
29,1,0.8020496198463395,0.5506426278677766,4637.845911949686,0,28359.363287750166,-0.017822329930974906,0.003703275088273141,272413.0,3.0,355.0,196.0,828.0,3.493395137812046e-05,9,2
30,1,0.8608998288959402,0.748866707989106,3.8542274052478134,0,0.4213295936653612,-0.6803295801002259,-0.6313734555680146,4.0,1.0,4.0,4.0,4.0,0.005563648655887599,8,0
